STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WDFG,WDFM,WESD,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT19
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,13/03/2004,,2.01,1538,1418,0,,,,63,70,56,,,280,260,,,,8.9,14.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,14/03/2004,,2.01,1501,1500,0,,,,64,72,56,,,270,280,,,,8.9,13,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,15/03/2004,,1.12,1635,1536,0,,,,63,68,57,,,260,280,,,,8.1,12.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,16/03/2004,,1.79,1721,1649,0,,,,66,78,54,,,220,200,,,,6.9,10.1,,,1,1,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,17/03/2004,,1.79,1450,1505,0,,,,69,82,55,,,270,280,,,,8.9,12.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,18/03/2004,,2.01,1637,1636,0,,,,65,74,56,,0,260,270,,,,8.9,12.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,19/03/2004,,2.68,1118,1120,0,,,,63,69,56,,0,280,270,,,,8.9,12.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,20/03/2004,,2.46,1341,1356,0,,,,65,74,55,,0,260,270,,,,12.1,16.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,21/03/2004,,1.79,1534,1432,0,,,,63,69,57,,0,260,280,,,,8.1,12.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,22/03/2004,,2.01,1631,1630,0,,,,63,68,56,,,270,270,,,,8.1,12.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,23/03/2004,,2.01,1702,1744,0,,,,62,66,57,,0,270,250,,,,8.1,10.1,,,1,,,,,,1,,1,,1,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,24/03/2004,,2.46,1351,1350,0,,,,64,70,57,,0,270,270,,,,10.1,15,,,,,,,,,1,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,25/03/2004,,3.13,1536,1536,0,,,,66,74,57,,,270,270,,,,12.1,15,,,1,,,,,,1,,1,,,,
